Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.037747621536255	0	15.227273	5.591648	40.0	9.0	15.227272727272727	5.591648140362539	1005	1005
2.583207845687866	1	19.960785	9.605883	56.0	9.0	19.96078431372549	9.605882152820302	1018	2023
3.049600601196289	2	33.096775	22.470562	100.0	10.0	33.096774193548384	22.470561155129854	1026	3049
3.5129919052124023	3	40.56	20.846256	99.0	13.0	40.56	20.846256258618716	1014	4063
3.977383613586426	4	45.954544	30.737122	158.0	16.0	45.95454545454545	30.737121874974324	1011	5074
4.439773797988892	5	46.090908	27.487036	109.0	12.0	46.09090909090909	27.48703676431209	1014	6088
4.9226555824279785	6	36.310345	23.072754	114.0	14.0	36.310344827586206	23.072753670727284	1053	7141
5.400058031082153	7	47.18182	23.630943	90.0	14.0	47.18181818181818	23.63094343447391	1038	8179
5.899479627609253	8	40.148148	28.006222	129.0	10.0	40.148148148148145	28.006221139178535	1084	9263
6.367874383926392	9	34.1	26.169128	159.0	8.0	34.1	26.169129395784903	1023	10286
6.828262090682983	10	43.826088	34.573994	134.0	12.0	43.82608695652174	34.573993963688	1008	11294
7.292654514312744	11	37.555557	22.583725	89.0	11.0	37.55555555555556	22.583726250511113	1014	12308
7.763054132461548	12	29.82353	12.476968	59.0	12.0	29.823529411764707	12.476968401195423	1014	13322
8.226441860198975	13	43.52174	26.043224	116.0	11.0	43.52173913043478	26.04322421303107	1001	14323
8.68883204460144	14	33.366665	15.772304	77.0	11.0	33.36666666666667	15.772303432141914	1001	15324
9.174241542816162	15	31.69697	20.956644	94.0	10.0	31.696969696969695	20.956643335901212	1046	16370
9.650643110275269	16	30.147058	19.7009	97.0	9.0	30.147058823529413	19.70089928216353	1025	17395
10.120038747787476	17	33.733334	23.641678	112.0	12.0	33.733333333333334	23.641676947477496	1012	18407
10.594439268112183	18	34.266666	20.266447	77.0	14.0	34.266666666666666	20.26644736723457	1028	19435
11.066837787628174	19	35.24138	27.486242	136.0	10.0	35.241379310344826	27.486241288442265	1022	20457
11.540237188339233	20	30.0	16.133633	81.0	10.0	30.0	16.133633119885268	1020	21477
12.013636589050293	21	31.84375	17.338737	83.0	12.0	31.84375	17.338738014558615	1019	22496
12.4830322265625	22	35.03448	19.764969	92.0	12.0	35.03448275862069	19.764968589733478	1016	23512
12.977449417114258	23	30.514286	19.103285	81.0	11.0	30.514285714285716	19.103285324888013	1068	24580
13.463859796524048	24	45.652172	26.351484	96.0	14.0	45.65217391304348	26.351484894473543	1050	25630
13.933255672454834	25	33.633335	21.23909	92.0	14.0	33.63333333333333	21.239088701940318	1009	26639
14.396646499633789	26	29.529411	16.775743	75.0	9.0	29.529411764705884	16.775744559820055	1004	27643
14.861038446426392	27	45.727272	30.619633	116.0	10.0	45.72727272727273	30.61963395390406	1006	28649
15.326430320739746	28	37.703705	17.88402	90.0	11.0	37.7037037037037	17.88401896752313	1018	29667
15.808837652206421	29	43.583332	19.642464	98.0	17.0	43.583333333333336	19.642463921028057	1046	30713
16.290956497192383	30	41.96	30.530613	125.0	12.0	41.96	30.53061414383929	1049	31762
16.787375688552856	31	43.4	21.82109	103.0	16.0	43.4	21.82109071517737	1085	32847
17.247763872146606	32	38.615383	15.327394	78.0	9.0	38.61538461538461	15.32739358413035	1004	33851
17.716159343719482	33	40.84	20.59064	111.0	15.0	40.84	20.59063864963882	1021	34872
18.183476209640503	34	39.23077	20.541342	89.0	12.0	39.23076923076923	20.541342350541022	1020	35892
18.6646728515625	35	43.833332	25.579397	111.0	12.0	43.833333333333336	25.579397091322452	1052	36944
19.14407706260681	36	43.833332	26.025095	108.0	13.0	43.833333333333336	26.025094727119736	1052	37996
19.61847734451294	37	47.18182	32.76311	170.0	14.0	47.18181818181818	32.763111689876254	1038	39034
20.08587145805359	38	42.625	20.322018	102.0	15.0	42.625	20.32201700127229	1023	40057
20.55226492881775	39	48.47619	22.499987	90.0	14.0	48.476190476190474	22.499987402364827	1018	41075
21.03066849708557	40	47.454544	23.090193	107.0	14.0	47.45454545454545	23.090193260200063	1044	42119
21.491300106048584	41	41.916668	18.08986	86.0	15.0	41.916666666666664	18.08986057313753	1006	43125
21.95584011077881	42	44.130436	18.15466	104.0	22.0	44.130434782608695	18.154660074472883	1015	44140
22.416228532791138	43	40.04	20.979	84.0	14.0	40.04	20.978999022832333	1001	45141
22.88062047958374	44	53.31579	26.576706	122.0	9.0	53.31578947368421	26.57670652356851	1013	46154
23.384044885635376	45	42.384617	22.212397	108.0	12.0	42.38461538461539	22.21239592084516	1102	47256
23.845434188842773	46	45.545456	21.575928	101.0	13.0	45.54545454545455	21.575927816829218	1002	48258
24.315830945968628	47	48.666668	23.42228	120.0	19.0	48.666666666666664	23.422279449344266	1022	49280
24.783225297927856	48	42.416668	20.031054	89.0	9.0	42.416666666666664	20.03105228278224	1018	50298
25.257626056671143	49	43.208332	22.667854	104.0	14.0	43.208333333333336	22.66785382920541	1037	51335
25.734026670455933	50	34.6	12.579349	63.0	19.0	34.6	12.579348154813111	1038	52373
26.204424142837524	51	44.304348	20.00964	109.0	12.0	44.30434782608695	20.009638509236527	1019	53392
26.662810564041138	52	40.04	22.555674	80.0	10.0	40.04	22.55567334397269	1001	54393
27.15981149673462	53	34.967743	17.846088	98.0	13.0	34.96774193548387	17.846087257015625	1084	55477
27.639216661453247	54	34.766666	18.94322	96.0	10.0	34.766666666666666	18.943219250052394	1043	56520
28.100605010986328	55	37.25926	16.157999	90.0	19.0	37.25925925925926	16.157999034058534	1006	57526
28.561994314193726	56	33.4	15.19342	78.0	11.0	33.4	15.19341962824696	1002	58528
29.03239130973816	57	34.2	20.908373	100.0	13.0	34.2	20.908371529126796	1026	59554
29.50272822380066	58	35.41379	18.598328	79.0	10.0	35.41379310344828	18.598326289878347	1027	60581
29.96912169456482	59	34.896553	12.622762	63.0	16.0	34.89655172413793	12.622762219119398	1012	61593
30.464539051055908	60	43.28	22.030016	107.0	17.0	43.28	22.03001588742051	1082	62675
30.944944858551025	61	43.708332	28.682863	103.0	14.0	43.708333333333336	28.682862430765557	1049	63724
31.404332399368286	62	33.433334	14.820444	97.0	15.0	33.43333333333333	14.820443838008211	1003	64727
31.876730918884277	63	35.41379	13.384286	71.0	14.0	35.41379310344828	13.384286312505605	1027	65754
32.36314105987549	64	40.73077	19.788414	80.0	16.0	40.73076923076923	19.788414816420886	1059	66813
32.82753252983093	65	40.72	18.3358	83.0	14.0	40.72	18.33580104604105	1018	67831
33.30793809890747	66	33.774193	11.600082	63.0	17.0	33.774193548387096	11.60008252868127	1047	68878
33.774330854415894	67	40.8	15.859383	70.0	12.0	40.8	15.859382081279207	1020	69898
34.24172568321228	68	37.62963	20.708109	117.0	18.0	37.629629629629626	20.708109251008768	1016	70914
34.70411562919617	69	43.869564	18.39259	88.0	13.0	43.869565217391305	18.39258912153405	1009	71923
35.17050886154175	70	46.409092	20.966768	107.0	23.0	46.40909090909091	20.96676827507822	1021	72944
35.631898164749146	71	35.92857	12.617813	59.0	13.0	35.92857142857143	12.617812158748814	1006	73950
36.09328746795654	72	40.08	16.90898	87.0	14.0	40.08	16.90897986278297	1002	74952
36.55767893791199	73	44.04348	22.303204	97.0	16.0	44.04347826086956	22.303203631979137	1013	75965
37.01806688308716	74	47.809525	21.64127	110.0	24.0	47.80952380952381	21.641272402560205	1004	76969
37.4914665222168	75	47.045456	19.35195	102.0	23.0	47.04545454545455	19.351949097811765	1035	78004
37.952855825424194	76	43.739132	17.88421	96.0	16.0	43.73913043478261	17.884210649290736	1006	79010
38.413979053497314	77	45.81818	20.401953	91.0	20.0	45.81818181818182	20.401952588453085	1008	80018
38.88103985786438	78	56.444443	18.691122	103.0	23.0	56.44444444444444	18.691121547177367	1016	81034
39.370452880859375	79	41.23077	15.087712	89.0	17.0	41.23076923076923	15.08771199534369	1072	82106
39.84585380554199	80	45.130436	14.552169	83.0	26.0	45.130434782608695	14.55216806744404	1038	83144
40.317251682281494	81	48.761906	19.961641	96.0	22.0	48.76190476190476	19.961641219634366	1024	84168
40.78164291381836	82	56.444443	22.231665	107.0	25.0	56.44444444444444	22.23166466057472	1016	85184
41.24303221702576	83	47.904762	18.616184	83.0	17.0	47.904761904761905	18.616185384676527	1006	86190
41.704421281814575	84	53.05263	20.783278	103.0	20.0	53.05263157894737	20.78327689123999	1008	87198
42.18282461166382	85	55.05263	26.035349	123.0	26.0	55.05263157894737	26.035347802171867	1046	88244
42.657225131988525	86	47.045456	9.711649	65.0	33.0	47.04545454545455	9.711648454432405	1035	89279
43.13462710380554	87	51.95	19.011772	102.0	28.0	51.95	19.011772668533567	1039	90318
43.61203050613403	88	58.055557	32.146317	132.0	27.0	58.05555555555556	32.14631864567288	1045	91363
44.09643912315369	89	62.52941	21.310362	114.0	29.0	62.529411764705884	21.310361045493185	1063	92426
44.583850145339966	90	62.35294	33.213997	162.0	24.0	62.35294117647059	33.21399629934661	1060	93486
