Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
4.370686769485474	0	35.681416	8.248642	62.0	24.0	35.68141592920354	8.248642137357441	4032	4032
6.843764305114746	1	29.932837	5.4938197	47.0	22.0	29.932835820895523	5.493819812955675	4011	8043
9.222779273986816	2	40.737373	11.088793	80.0	28.0	40.73737373737374	11.08879301260881	4033	12076
11.580770492553711	3	46.604652	12.172481	107.0	30.0	46.604651162790695	12.172480465881474	4008	16084
13.937748432159424	4	43.663044	9.819322	68.0	30.0	43.66304347826087	9.819321208622805	4017	20101
16.3007493019104	5	38.2	5.1628714	51.0	29.0	38.2	5.16287110968675	4011	24112
18.676755666732788	6	35.069565	3.893633	44.0	27.0	35.06956521739131	3.89363301709774	4033	28145
21.04674458503723	7	35.008698	3.417336	44.0	30.0	35.00869565217391	3.4173359880466077	4026	32171
23.398736476898193	8	36.08108	3.0847933	42.0	29.0	36.08108108108108	3.0847930855753107	4005	36176
25.765733003616333	9	38.0283	3.1336806	45.0	31.0	38.028301886792455	3.1336805389485893	4031	40207
28.13572406768799	10	49.77778	8.032342	67.0	33.0	49.77777777777778	8.032342031967918	4032	44239
30.504722356796265	11	54.22973	7.083569	69.0	40.0	54.229729729729726	7.083569296689913	4013	48252
32.88774228096008	12	57.25714	6.4557524	74.0	44.0	57.25714285714286	6.455752062608782	4008	52260
35.251734018325806	13	62.828125	7.1163425	84.0	47.0	62.828125	7.116342739383412	4021	56281
37.645753622055054	14	64.98387	8.003007	81.0	49.0	64.98387096774194	8.003007369176453	4029	60310
40.038772106170654	15	66.590164	8.199114	84.0	53.0	66.59016393442623	8.199114404757738	4062	64372
42.40877079963684	16	69.27586	9.295518	87.0	55.0	69.27586206896552	9.295518207157453	4018	68390
44.78376603126526	17	69.43104	6.965709	84.0	57.0	69.43103448275862	6.965709283798539	4027	72417
47.171788692474365	18	72.19643	6.6853237	86.0	57.0	72.19642857142857	6.685324126283586	4043	76460
49.53078031539917	19	73.03636	6.5946636	85.0	59.0	73.03636363636363	6.594663507477808	4017	80477
51.946807861328125	20	73.836365	7.283265	94.0	57.0	73.83636363636364	7.283265092884038	4061	84538
54.379860639572144	21	74.90741	7.029748	94.0	60.0	74.9074074074074	7.029747686633063	4045	88583
56.76788258552551	22	76.84906	9.223424	112.0	64.0	76.84905660377359	9.22342429435929	4073	92656
59.15189337730408	23	76.84906	8.864593	118.0	66.0	76.84905660377359	8.864591906909268	4073	96729
61.519882678985596	24	77.65385	9.112301	108.0	63.0	77.65384615384616	9.112300679226902	4038	100767
63.867873430252075	25	71.625	5.5599413	83.0	62.0	71.625	5.559941225280302	4011	104778
66.25788927078247	26	71.0	4.884634	80.0	59.0	71.0	4.884633980433644	4047	108825
68.65791368484497	27	68.10169	5.0913515	78.0	57.0	68.10169491525424	5.091351641169753	4018	112843
71.0148994922638	28	65.72131	4.952665	77.0	57.0	65.72131147540983	4.952664947612641	4009	116852
73.36988615989685	29	66.16393	4.8693767	77.0	57.0	66.1639344262295	4.869376800159296	4036	120888
75.72086095809937	30	67.2	4.7951365	76.0	57.0	67.2	4.795136424892761	4032	124920
78.05784010887146	31	66.95	5.001416	79.0	59.0	66.95	5.001416466029065	4017	128937
80.40081644058228	32	70.22807	5.6413803	82.0	59.0	70.2280701754386	5.641380768706501	4003	132940
82.7578067779541	33	72.03571	5.060224	81.0	62.0	72.03571428571429	5.060224041180269	4034	136974
85.09076428413391	34	76.96154	8.421495	119.0	65.0	76.96153846153847	8.421496163576641	4002	140976
